Year,variable,value
1970-01-01,storm,24.0
1971-01-01,storm,22.0
1972-01-01,storm,26.0
1973-01-01,storm,22.0
1974-01-01,storm,28.0
1975-01-01,storm,25.0
1976-01-01,storm,30.0
1977-01-01,storm,29.0
1978-01-01,storm,38.0
1979-01-01,storm,30.0
1980-01-01,storm,36.0
1981-01-01,storm,47.0
1982-01-01,storm,51.0
1983-01-01,storm,55.0
1984-01-01,storm,53.0
1985-01-01,storm,49.0
1986-01-01,storm,53.0
1987-01-01,storm,57.0
1988-01-01,storm,60.0
1989-01-01,storm,72.0
1990-01-01,storm,135.0
1991-01-01,storm,66.0
1992-01-01,storm,76.0
1993-01-01,storm,107.0
1994-01-01,storm,80.0
1995-01-01,storm,80.0
1996-01-01,storm,76.0
1997-01-01,storm,79.0
1998-01-01,storm,88.0
1999-01-01,storm,106.0
2000-01-01,storm,102.0
2001-01-01,storm,105.0
2002-01-01,storm,123.0
2003-01-01,storm,86.0
2004-01-01,storm,124.0
2005-01-01,storm,130.0
2006-01-01,storm,76.0
2007-01-01,storm,104.0
2008-01-01,storm,112.0
2009-01-01,storm,87.0
2010-01-01,storm,94.0
2011-01-01,storm,84.0
2012-01-01,storm,91.0
2013-01-01,storm,105.0
2014-01-01,storm,99.0
2015-01-01,storm,121.0
2016-01-01,storm,86.0
2017-01-01,storm,130.0
2018-01-01,storm,96.0
2019-01-01,storm,91.0
2020-01-01,storm,128.0
2021-01-01,storm,119.0
